date,"username","content","likes","retweets","sentiment"
"2023-01-26T08:59:07.000Z","Unknown","#sahamBBCA",0,0,0
"2024-04-24T09:47:46.000Z","Unknown","Mau Saham BBCA gratis?!

Yuk dateng langsung ke booth Ciptadana Bluechip di Semesta 2024 bersama Universitas Prasetiya Mulya
 26-28 April 2024
Hublife Taman Anggrek
Ada kopi gratis, RDN, merchandise hingga saham BBCA loh!

#Semesta2024 #sahamBBCA #ciptadana #bluechip #hublife",1,0,0
"2021-05-31T23:29:38.000Z","Unknown","Seasonality IHSG
http://telegram.me/rikopedia

#mainsaham
#ihsg
#tradingsaham 
#sahambbri
#sahambbca
#sahamptba
#analisasaham",0,0,0
"2020-01-14T16:14:56.000Z","Unknown","Jaman kerja baru2, saham BBCA tuh ms Rp10ribuan. Gila men, skrg ud mau 35ribu. #sahambbca ! Bravo. 

Btw, penguatan rupiah belakangan ini, ngaruh bgt buat saham2 perbankan. Makanya mayoritas pd naik.",0,0,0
"2017-10-12T03:01:04.000Z","Unknown","#sahambbca (20500) menjadi perusahaan pertama di BEI yang memiliki kapitalisasi Rp500 triliun. Selamat ya. #ianbelajarsaham",4,2,0
"2021-05-31T09:26:04.000Z","Unknown","IHSG keluar dari area downtrend
http://telegram.me/rikopedia

#IHSG
#saham
#yuknabungsaham
#tradingsaham
#sahambbri
#sahambbca
#sahambbni
#sahambbtn
#rikopedia",0,0,0
"2024-06-21T04:28:27.000Z","Unknown","Rabu,19 06 2024 kmrn lihat market di stokbit saham bbca 905 rb mau beli tp gk jd karena Ngantuk pdhl saldo RDn ready.. bsknya udah naik lagi ehhh dasar aku nyesal senyesal nyesalnya.. NB:Terkhusus BBCA klo udh menyentuh 9100 ke bwh langsung BELI #SAHAMBBCA",0,0,0
"2023-01-19T12:00:03.000Z","Unknown","Kalau bisa sampe oversubscribe, itu artinya perusahaan ini memang sudah diincar banget sama para investor. 

SC: Unair & Pintu

#sahambbca #siklikal #saham #yeskapitalindonesia #IPOSyariah #oversubscribe",0,0,0
"2023-01-18T10:00:00.000Z","Unknown","Sampe sini paham kan kenapa harus follow Yes Kapital Indonesia? Iya, biar kamu melek sama investasi bareng Mino.

SC:TMT_30

#sahambbca #siklikal #saham #yeskapitalindonesia #peterlynch",1,0,1
"2023-01-19T07:35:58.000Z","Unknown","Jadi ya kalau kamu berani investasi di sini, bisa deh bobo nyenyak meski tetap ada resiko ya! Yuk bahas bareng Mino di postingan selanjutnya!

SC: Agustinus

#sahambbca #siklikal #saham #yeskapitalindonesia #bbca #bbri",0,0,0
"2021-02-11T09:44:53.000Z","Unknown","Saham Top Gainers dan Top Losers Kamis, 11 Februari 2021, BBCA -0,58 https://rentetan.com/blog/2021/02/11/saham-top-gainers-dan-top-losers-kamis-11-februari-2021-bbca-058/…  #sahambbca #chatseks",0,0,4
"2021-08-12T04:45:51.000Z","Unknown","Coba kita ulik saham yang akan stocksplit ini yuk!
#kiwoomsekuritas #stockmarket #trading #investing #investor #trader #stocksplit #bbca #sahamterdiskon #investorcuan #listing #cuan #ilmusaham #cerdasinvestasi #bursaefekindonesia #sahambbca #tipscuan #strategicuan #cuandarisaham",0,0,0
"2021-05-25T00:18:33.000Z","Unknown","Kinerja pemimpin pasar 3 bulan terakhir.Selalu lihat arah pemimpin pasar untuk melihat kemana uang dan market mengalir

http://Telegram.me/rikopedia

#yuknabungsaham
#sahamasii
#sahamunvr
#sahambbca
#sahambbri
#sahambbni
#analisasaham
#yuknabungsaham
#tradingsaham
#investasi",0,0,0
"2022-10-24T01:14:21.000Z","Unknown","kanalmu Tips analisis fundamental saham bbca 2022 dengan cepat dan praktis Ketika sobat kanalmu hendak m #cara #finance #saham #SahamBbca",0,0,0
"2023-01-18T07:00:30.000Z","Unknown","Jadi, saham ini emang over rated banget nggak sih? Belum lagi kalau ternyata saham BBCA ini naik dan bangkit dari kerugiannya, jatohnya akan jauh lebih kaya kalau kamu ini nabung di saham BBCA.

SC: TMT_30

#sahambbca #siklikal #saham #yeskapitalindonesia #peterlynch",2,0,0
"2015-04-09T15:42:47.000Z","Unknown","Bank BCA bagikan dividen tunai Rp98/saham. #sahamBBCA",0,0,0
"2020-07-08T05:58:09.000Z","Unknown","Ayo siapa yang punya rekening di Bank ini? 

#sahamBBCA #saham #investasisaham #belajarsaham #sahamindonesia #tradingsaham #investormuda #nabungsaham #investorsahampemula #bursasaham #yukbelajarsaham…",0,0,0
"2020-07-16T12:29:18.000Z","Unknown","Mengapa Direksi BCA Kompak Jual Saham BBCA episode of Belajar Saham & Reksadana
https://open.spotify.com/episode/02QJUu5ILFmxNdoLyxKzi2?si=NrU-RbGyTUyocEj7KuxbEA…
#bankbca #sahambbca #bca #bbca #jahjasetiaatmadja #direksi",0,0,0
"2021-10-27T23:53:46.000Z","Unknown","JCI Seasonality

Bulan Nov market siklusnya sedikit bergelombang setelah itu akan digas pol lagi bulan Desember Januari (Santaclaus rally & Januari effect)

http://telegram.me/rikopedia 

#saham
#investasisaham
#IHSG
#sahamANTM
#sahamBBCA
#sahamBBRI",0,0,0
"2023-04-12T03:45:38.000Z","Unknown","Apakah ini calon saham BBCA Killer? siapa yang sudah nyerok saham ini dari bawah?

https://mikirduit.com/saham-nisp/

#mikirduit #saham #NISP #sahamBBCA #dividen",0,0,0
"2015-05-01T02:53:47.000Z","Unknown","Laba bersih Bank BCA Kuartal 1 2015 sebesar 4,06 Triliun (Rp165/saham) naik 10,7% dibanding kuartal 1 2014 sebesar 3,66 Triliun #SahamBBCA",0,0,0
"2019-02-27T03:02:06.000Z","Unknown","Sinarmas Sekuritas: Rekomendasi SahamBBCA &Hold HMSP, WEGE, ANTM",0,0,0
"2021-10-13T11:26:36.000Z","Unknown","https://parboaboa.com/saham-bbca-dibuka-rp-7-400-per-saham-usai-bca-lakukan-aksi-split-rasio-1-5…

#Parboaboa #SahamBBCA #SplitSahamBBCA #BursaEfekIndonesia",0,0,0
"2021-10-13T13:04:01.000Z","Unknown","Founder Finansialku Melvin Mumpuni menilai Saham BBCA cocok untuk investasi jangka panjang. #SahamBBCA",1,0,0
"2019-02-27T03:27:10.000Z","Unknown","Sinarmas Sekuritas: Rekomendasi Saham BBCA & Hold HMSP, WEGE, ANTM",0,0,0
"2025-02-22T02:00:01.000Z","Unknown","Prediksi dividen final tahun buku 2024 saham big banks. Ada emiten incaranmu?

*Secuali BBCA yang menggunakan payout ratio historis tahun 2023. Payout ratio aktual masih menunggu RUPST yang akan datang.
**Sebelum rencana buyback tahun 2025.",8,1,1
"2025-02-06T06:43:24.000Z","Unknown","Shm! BBCA udah dibawah 9000 gaisss!!!",0,156,0
"2025-02-19T11:33:34.000Z","Unknown","$IHSG jeblok + banking sector nya Indonesia juga jeblok.

$BBCA $BMRI $BBRI ambles dari 2024 - sekarang.

Banking sector itu cerminan dari kondisi dari ekonomi suatu negara dan tanda nya ekonomi Indonesia lagi gak bagus.

Rupiah juga melemah terhadap USD di level 16,329.",1,0,0
"2024-12-15T12:36:47.000Z","Unknown","shm! Para NAGA melahirkan ANAK NAGA 

$ADRO  $AADI
$RAJA  $RATU 
$TPIA  $CDIA
$PANI  $CBDK 

Semoga $BREN geser $BBCA dan PANI TPIA masuk top 3  Waktunya saham-saham Gen Z takeover ",328,30,2
"2025-02-18T05:57:10.000Z","Unknown","in BBCA we trust!",10,0,1
"2025-02-19T05:29:19.000Z","Unknown","Semisal 1 thn lalu invest senilai 10 juta ke 3 tempat, BBCA, emas dan Bitcoin, maka skrg nilainya jadi:

Saham BBCA:  Rp 9,241,000 (-7,59%) 
Emas: Rp 14,532,000 (+45.32%) 
Bitcoin: Rp 18,950,000 (+82.95%)  

Ini % yg mngubah byk persepsi ttg investasi, terutama investor pasif.",1,0,0
"2025-02-07T06:54:11.000Z","Unknown","sementara yg udah rilis FY tahun 2024, 
pertumbuhan laba BRIS masih lebih baik di banding bank lain, di angka 22, 83%

kemudian yg menarik juga adalah $BBCA laba nya masih bisa tumbuh dobel digit,",21,6,0
"2025-02-19T10:10:39.000Z","Unknown","Shm! Pengertian Dead Cat Bounce. 

Dead Cat Bounce adalah kenaikan harga aset yang bersifat sementara dan berumur pendek di tengah tren penurunan yang berkepanjangan (bearish). $BBRI $BMRI $BBCA $BBNI",284,38,-6
"2025-02-14T00:48:49.000Z","Unknown","$BBCA : Gonna missin his “bersahaja” persona.",70,14,0
"2025-02-11T04:16:19.000Z","Unknown","bbca mulai merah lagi dan hampir masuk ke 8000an lagi",6,0,0
"2024-03-05T20:56:49.000Z","Unknown","*midnight thoughts* 

Kenapa BBCA itu berada di harga premium diatas semua ""bank"" lain? 

apakah karena NIM nya? 
apakah CAR nya? 
apakah NPL rendah? 
apakah asset qualitynya?
apakah efisiensi ROA?
apakah branding? 
ato satpam yg baik? (becanda)

Kenapa bisa trading di nilai buku",1,145,2
"2025-02-13T08:49:48.000Z","Unknown","$BBRI under 4000
$BBNI under 5000
$BMRI 5000 an
$BBCA under 10.000 

luar biasa 100 hari kerja sudah bisa kasih harga promo investor",98,34,0
"2025-01-31T04:10:18.000Z","Unknown","Shm! Sender baru mau belajar investasi. Tadi coba-coba beli saham #BBCA di stockb!+. Terus lihat tampilan nya seperti kayak ini. Itu artinya apa ya? Saham nya udah milik sender atau belum ya?",22,3,0
"2025-02-22T12:53:47.000Z","Unknown"," IHSG Akhirnya Hijau!
Setelah dua hari melemah, IHSG naik 0,22% ke 6.803! Tapi, asing masih net sell Rp705 M. BBRI & BBCA jadi sorotan! 
Bullish atau jebakan? 
 https://bursa.nusantaraofficial.com/ihsg-tutup-hijau-net-sell-asing-bbri-dan-bbca-jadi-sorotan/…
#IHSG #Saham #Investasi #StockMarket #BBRI #BBCA",0,0,0
"2025-02-10T03:41:14.000Z","Unknown","Untuk longterm
BBCA saya tunggu di 7500
BBRI saya tunggu di 3000
BMRI saya tunggu di 3250-3500
BBNI saya tunggu di 2000",47,8,0
"2024-11-12T06:48:35.000Z","Unknown","Shm! $BBCA Dividen Jumbo Interim 
Rp50/saham
Cumdate 20 Nov",209,41,0
"2025-02-19T13:36:51.000Z","Unknown","#BBCA itu kapitalisasinya 10 besar di Asia. Kalau sampai collapse ya alamat kiamat perbankan Indonesia sih, tp $BBCA kuatlah karena bank swasta dan tdk ada intervensi pemerintah.",2,0,-2
"2025-02-19T09:09:02.000Z","Unknown","Saham big banks $BBRI $BBCA $BMRI $BBNI kembali digebukin

Nilai transaksinya lumayan gede lagi

Rebound kemarin cuma DBC (Dead Cat Bounce)?",57,7,-2
"2025-02-21T02:11:22.000Z","Unknown","$BBCA masih jadi penyakitnya ",5,0,0
"2025-02-10T04:04:20.000Z","Unknown","ingat
pbv minimal bbca terjadi di 3-4 sabaar artinya area 5900-8200

pbv bbca terjadi di area 5 -6 disitu jual tuh
gitu aja play nya",49,5,0
"2025-02-17T03:54:46.000Z","Unknown","Slightly off the crypto topic, but for my Indonesian friends—

Historically, the Indonesian stock exchange rallies after a central bank rate cut.

Plus, major banking stocks like $BBCA and $BBRI are down 40% in 2024, making this year a prime setup for a strong recovery.",8,2,3
"2025-02-06T10:28:11.000Z","Unknown","yak apa teman-teman, ada yang bayar buzzer supaya saham bbca jatoh wkwk",3,3,0
"2025-02-18T02:52:16.000Z","Unknown","Findimintil is did 
BBCA, BMRI, BBNI & BBNI",11,2,0
"2024-10-10T02:36:22.000Z","Unknown","Halo para investor shm!, mau minta pendapatnya.

Saham bluechip di Indonesia ada beberapa jenis misal BBCA, BBRI dll.

Menurut sobat investor apakah lebih baik all in disalah satu saham atau melakukan diversifikasi? 

Thanks.",73,4,2
"2025-01-27T03:05:10.000Z","Unknown","Shm! sender baru ""melek"" keuangan (esp investasi), niatnya mau ngambil BBNI or BBCA (or both of them?), karena belakagnan BBNI grafiknya cukup ok (dan klo dilihat secara macro juga ok), minta sarannya dong.
thanks anyway.",99,10,2
"2025-02-14T02:13:01.000Z","Unknown","pertumbuhan laba 4 bank besar Indonesia, 
3 bank BUMN udah mulai bingung naikin laba nya,

sektornya memang ada sedikit perlambatan, 
tapi bukan jadi penyebab utama, karena BBCA juga masih bisa tumbuh 2 digit, 

seharusnya kalo sektornya memang lagi gak bagus 44 nya terdampak",56,5,0
"2025-02-22T19:39:40.000Z","Unknown","Post falso seu bbca, propagador de FAKE escroto ",0,0,-3
"2025-02-22T19:29:56.000Z","Unknown","We will tag BBCA",1,0,0
"2025-02-22T19:24:49.000Z","Unknown","Yes of course.",0,0,1
"2025-02-22T19:04:27.000Z","Unknown","this guy is the biggest larper of all ct lmao",1,0,4
"2025-02-22T16:34:12.000Z","Unknown","keep larpin trash",1,0,0
"2025-02-22T15:35:20.000Z","Unknown","Entonces cuando liquidamos a un empleado ya no tenemos que pagar después nada? Al Infonavit",0,0,-1
"2025-02-22T15:34:39.000Z","Unknown","In case you haven’t figured this out…

…the casting of RWANDAn Ncuti Gatwa as 
@DoctorWho_BBCA
 is not an accident, and it’s not just cuz of #woke bullshit…

It’s connected to the US + UK + France/EU using #Rwanda’s #government (& Uganda’s gov) as their proxy army to conquer the",1,0,-2
"2025-02-22T14:45:54.000Z","Unknown","welp im mining less and less ltc doge each day ",2,0,0
"2025-02-22T14:44:00.000Z","Unknown","E há quem diga que esse bbca tem credibilidade.  Me poupe bem grande",0,0,0
"2025-02-22T14:41:48.000Z","Unknown","in BBCA we trust lah pokoknya, buzzer tidak akan menggoyahkan loyalitas saya ",0,0,1
"2025-02-22T14:35:40.000Z","Unknown","Si te está lloviendo sobre mojado nadie te apoya…… que se siente ser un don nadie?",1,1,0
"2025-02-22T14:34:31.000Z","Unknown","Obvio no.",0,0,-1
"2025-02-22T14:34:12.000Z","Unknown","Tus fantasías Juanito.",0,0,0
"2025-02-22T13:55:40.000Z","Unknown","Sem ser bbca, numa nice: ""meu amor, vamo colocar um adendo a nossa organiçazão? Camisas de time pode deixar que eu mesmo lavo ta?"" e vc mesmo lava, não reclama e nem explica pra não se estressar com a cremosa e vida que segue, preju ja rolou mesmo...",33,0,3
"2025-02-22T13:31:23.000Z","Unknown","Terpantau terakhir kemarin BBCA close di harga 9000 :( yuk bisa yuk meroket lagi ",0,0,0
"2025-02-22T13:28:03.000Z","Unknown","Haust Network: Testnet Network Explorer
 Reward : 1 NFT & Role

 Register: https://quest.intract.io/quest/67b70ca60b510e6387878887?referralCode=GJkkBL&referralSource=QUEST_PAGE&referralLink=https%3A%2F%2Fquest.intract.io%2Fquest%2F67b70ca60b510e6387878887%3FreferralCode%3DLcjEsl…

 Connect your Wallet
 Complete All Tasks
 Answer : BBCA
 Done",1,0,2
"2025-02-22T13:24:52.000Z","Unknown","Haust Network: Testnet Network Explorer
intract上的任务
可以拿个nft和dc角色
推特任务都是假任务 dc需要加入并完成验证
BBCA
https://quest.intract.io/quest/67b70ca60b510e6387878887?referralCode=dFGTvP&referralSource=QUEST_PAGE&referralLink=https%3A%2F%2Fquest.intract.io%2Fquest%2F67b70ca60b510e6387878887%3FreferralCode%3DjlYrMu…

#HaustNetwork",0,0,0
"2025-02-22T12:55:43.000Z","Unknown","40 cents",2,0,0
"2025-02-22T12:50:11.000Z","Unknown","hacker be doin better things than ethereum foundation ngl",33,0,2
"2025-02-22T12:25:28.000Z","Komunitas MARAH MARAH","Ambil BBCA aja, dah mau reversal, mountlynya dah mau nyentuh dasar. 8700-8500 tuh bisa buat area akumulasi",0,0,0
"2025-02-22T12:10:05.000Z","Unknown","17-21/2/25 (W3M2)
#BBCA #BMRI #BBNI #BBRI 
#idx #idr #bank",0,0,0
"2025-02-22T11:18:40.000Z","Unknown","Punya duit nganggur 1M, bukannya dibeliin bitcoin atau saham BBCA, malah dipake nyogok jd polisi. Mental korup!

Eh atau emang investasinya lbh menjanjikan yah?",2,0,0
"2025-02-22T11:15:32.000Z","Unknown","beliin bbca aja om biar nambah",0,0,0
"2025-02-22T11:04:19.000Z","Unknown","Baru tau ada mybca, lgsg pake bbca mobile soalnya",0,0,0
"2025-02-22T10:47:03.000Z","Unknown","kalian semua diketawain sama market cap & harga $bbca ",0,0,0
