"date","content","sentiment"
"2018-01-09","#kafein #ASING membukukan NET BUYING setara +449M, pada saham :: #BBCA +141M, #BCAP +70M, #PTPP +59M, #BBTN +57M, #ADRO, #BMRI +56M, #UNTR +54M dan #ICBP +51M, tapi NET SELL pada saham #TLKM -68M.",1
"2018-01-14","Mikro membuat ukuran kami menjadi makro. 10/21 ODP 50 BMRI #odp50 #mbm #bmri #friends… https://instagram.com/p/Bd7B2L1FlVK/",0
"2018-01-16","#kafein Semakin mendekati resisten psikologis 6500, setelah capai resisten 6200. Dan inilah saham2 yang berpotensi jadi trigger untuk kenaikan #IDX : #UNVR, #TLKM, #HMSP, #GGRM, #BBRI #BMRI dan/atau #BBNI.",1
"2018-01-19","#kafein #ASING membukukan NET SELLING senilai -930M, pada saham ; #TOWR -490M, #ICBP -124M, #TLKM -104M, #PGAS -103M, #BBRI -82M dan #ASII -61M. Dan Net BUY pada saham ; #BMRI +55M dan #BBCA +54M.",-1
"2018-01-30","ASING membukukan #NETSELL -1T, pada saham : #TLKM -343M, #BBRI -334M, #BMRI -255M, #BBNI -91M, #ASII -77M, #UNTR -66M, #HMSP -65M, #UNVR -65M, #INDF -55M, tapi #NETBUY pada saham #BBCA +231M.",0
"2018-01-30","14:19 #kafein #market #UPDATE

#kafein sudah memeriksa beberapa saham masih on track, seperti #KONSTRUKSI, #BMRI, #BBNI, #AKRA. #IDX pun sudah sedikit membaik setelah tadi capai/sampai -2% saat ini sudah di -1.69%.",0
"2018-01-30","#kafein #ASING membukukan #NETSELL -1T, pada saham : #TLKM -343M, #BBRI -334M, #BMRI -255M, #BBNI -91M, #ASII -77M, #UNTR -66M, #HMSP -65M, #UNVR -65M, #INDF -55M, tapi #NETBUY pada saham #BBCA +231M.",-1
"2018-01-30","#kafein Walau market sempat terkoreksi hingga -2% (6546), tapi beberapa saham yg #kafein pantau masih on track, diantaranya : #BMRI > 8000, #BBNI ~ 9250, #AKRA > 6200, serta saham2 #KONSTRUKSI masih dekat dgn resistennya.",1
"2018-02-07","BMRI Akumulasi Beli pada area level 7925 – 8025, dengan target harga secara bertahap di level 8250 dan 8500 #BOTresearch #saham #IHSG #BMRI",1
"2018-02-08","Beberapa saham yang dapat diperhatikan adalah #HMSP #BMRI #ICBP #INTP 

https://temantrader.com/2018/02/market-direction-8-februari-2018-selective-buy-weakness/…",-1
"2018-03-01","#kafein Saham #BANK, 3 saham big bank ini memberikan sinyal dengan kecenderungan menguat, yaitu #BBRI, #BMRI dan #BBCA.",1
"2018-03-06","#kafein terhitung sejak Okt 2017, #BMRI bullish dikawal oleh support MA60, dimana saat ini #BMRI ditutup tepat di MA60-8042. Ditambah dgn support 7900, mampukah mempertahankan kondisi bullish BMRI ?",1
